codigo;origen;destino;cliente;matricula;precio_base;nombre;bultos;precio_combustible;tipo_buque;toneladas
XUUCOJZEUYL2;Mendoza;Napoles;byevxjef rosfucq;3J2PVZ74S01S;56388.94;lbvzikeu nwxgckfc;26;34036.08;0;0
ABN7C9KZ3GTI;Mendoza;Madrid;qzohzhu rdyylu;P5NER5HHMNDU;206323.3;bmyjzagi lajjmveb;0;0;3;31931
PNE6LI3DL1E3;Buenos Aires;Madrid;pmvjygn dclws;JS7V1MWL1DAY;92527.01;ywxhmq fbaduv;194;32468.64;0;0
8PYFRV59NKMP;Rosario;Londres;oxygeud mjyjh;PTTQF2NH0XNT;262114.58;pmofr fwpzv;0;0;3;41150
3GMGF0EZT15P;Buenos Aires;Napoles;rpswzbz kraalj;JGL31LAWS97O;67369.61;awyslm hfwscu;0;0;1;22505
UK2R5LX12DVK;Cordoba;Londres;uevwrnlk uaqrze;F4LMDW0PHLA1;243158.61;abazrhs lkpmu;0;0;2;34513
LU75EVO97QLH;Cordoba;Londres;olaga fxlbgh;3AWAO8WQYV1T;47089.26;vanskdc yonlbr;0;0;2;23850
L28APMPPBFO9;Rosario;Madrid;yxybdpt bhdeu;4YC7K9VOI7XL;16402.64;nmbwnga verugl;0;0;1;22869
X9UYNP4IPI4W;Buenos Aires;Madrid;xqprz yntpe;4XF94R17GHSC;275059.51;txgsgeg rjcbh;141;25481.52;0;0
SXDLCHICIEZW;Mendoza;Londres;byygtlti rosib;SV2IO0C3ADT7;144014.36;efgevd kjzlun;18;32391.68;0;0
PE5EH1VHAH7C;Rosario;San Francisco;dbgiwlb psorvgjl;RKNC2PDXGQQ5;171265.13;zzdzd chrxh;46;34946.93;0;0
GRR32HGUBQ44;Mendoza;Madrid;mvxdq ntzpdeyh;KXGKKSBB6WZV;78989.84;paixl kzhtbjfn;49;32189.48;0;0
C8G12EUEIEVJ;Mendoza;Londres;sjncnh nhzse;Y9Q0YS5N4GHM;106187.62;wrsprij jvogh;0;0;1;24592
3DMAL1NG743N;Cordoba;Napoles;hkasmm hnqibz;U1L5032SJA2G;123771.67;gtqykr mpfihms;0;0;2;42939
SSXBQ30UYMXH;Mendoza;Madrid;wxrvj liqtcb;QO6ZP1B21353;242310.34;mhphkxh ratdo;187;27011.72;0;0
01C62FVEPP9P;Mendoza;San Francisco;ngtbbhv todacy;TKCNY1G8MSH2;340902.68;gazzn wbzpxn;0;0;1;27778
TFPSKUECMB07;Montevideo;Napoles;yphrniz plcetuvn;DCR91J16NNFQ;182525.89;dcwnul kcvyw;155;32326.37;0;0
KIBML6FHRMWI;Cordoba;Napoles;nhnza tkhec;2UXQ593FE2QU;192496.14;xuraco forgemzl;0;0;1;23071
EJA1GX32JDWG;Cordoba;Londres;spwsfx opnwly;SQ2153ALC4RK;48986.64;lcqgoifk gldnpxqo;41;28885.24;0;0
3Z5V0DZHN8OS;Buenos Aires;Madrid;junjsn wdsejwe;F706YPXB1XO5;37529.84;pfmhfbon vjsavfq;112;33078.43;0;0
QDBQ1J1KMMEF;Rosario;Napoles;mwozhsvd gboiqolx;3IGH69MMFXBZ;271317.57;jusimt blmypm;0;0;1;40354
RQYNUDZYBBIT;Mendoza;Londres;xouxmmo kyxvjino;UBHBX0TPLOL8;279840.64;utxtbn yorzq;0;0;3;22856
KF0WEGVJLUUQ;Mendoza;Madrid;wuhirgwi flvacs;WQM7BWTK3D2D;46480.59;tpflyqg cxgzfkfw;105;28785.4;0;0
YZSOJE4SBVLO;Rosario;Napoles;tixsdwx hsuzp;EE9UQ5JB23HS;114545.08;dolgsw fucsszee;0;0;3;44440
KDBT4QO5ZFLW;Montevideo;Madrid;yihxz yzmpvi;5WBGG41YRBZQ;307582.34;dbfquvl zdkskaa;0;0;2;18931
IPC50ICH5HH2;Mendoza;Madrid;ypbap hmnsnqq;SIOFZOUUQVV6;339335.74;ooblfd jgdcv;0;0;3;37841
BRQJ77Y4D15A;Cordoba;Madrid;asniog laaxxaqi;FH819NOQFOHE;273041.74;teahako niwnm;108;27105.0;0;0
4GCAJNA57XRE;Mendoza;Madrid;ulhqiojw jbsssbr;IV7INDPE8SJM;168983.69;xdlzc yucuac;0;0;3;18343
YHUV822HBS5C;Rosario;Napoles;zamzjxx bpxboctb;I337XS50452Q;37360.24;xthehn qeaoynqk;0;0;1;22831
FKGJ45MKSCCE;Rosario;San Francisco;irfemfv tanuzsvp;ZM9IEKIQBMKW;248917.8;wozxn ogsgvjm;157;33744.35;0;0
0WML8R88YOU7;Buenos Aires;Napoles;erzcnyxb pxvslvjw;LPRIYVY0T07Q;176866.32;nvlpi iiiqxs;0;0;1;43440
UDRJ8P8A7AAH;Cordoba;San Francisco;duuvcynt zdjoos;38GB6OHDJ5LH;223292.76;vupzjfy qkvxqxq;36;33914.75;0;0
WKM2R7JNWU4J;Montevideo;San Francisco;fftqxly ychmb;SUIG7I4WKLGL;278902.18;cdoymkh spvlcb;0;0;3;43843
VSD4CI9TWBZC;Rosario;Napoles;marblzbl euphkd;YE763MMGTUIR;299583.47;obdzfqyp uuyzipp;0;0;2;39063
3992P24ZDAD6;Mendoza;Londres;mqrfl lbmlzn;B28J3VK15XCC;57920.89;zctermh mwtvotu;173;32788.75;0;0
ND8W3TEO8KJC;Rosario;San Francisco;fpgwjfl eikvynsc;WK5KH6WLCIKJ;193610.25;vigbvxcp fthuve;0;0;2;36885
3EVO8ZDOOJM7;Buenos Aires;Napoles;wgoepud ubjcarr;YJ8CXVUPEC9N;135002.21;lxyqsj hnjdhxxw;0;0;3;28567
VZ42NHN6QN5P;Buenos Aires;Napoles;inlec cjnxxsds;MM5SPBUMUPG2;33995.73;apmyi oftldr;133;29482.99;0;0
LIJ2QVFAN9YY;Montevideo;San Francisco;gycpiwg ssmwytgc;MPJ7JM7WLNUC;107372.59;rsjwyg cmkvcp;120;30867.53;0;0
4JJRJVLHJWMJ;Montevideo;Londres;lgsrlx wyevlpg;2K47E1E66VJX;316926.01;lqllgu pqumaylx;199;30183.05;0;0
DC54UM3FGU71;Montevideo;Madrid;dnavhz mwpwfc;35T6QLDY6GW0;126517.73;vsrqo uheyeo;134;31075.81;0;0
YQ2VVX2NSM20;Montevideo;Napoles;zuzec gwndofm;5QMQIHH0D7NV;100148.81;uqfbuw bnakzhah;96;25999.9;0;0
8N40PSMFIZ3D;Buenos Aires;San Francisco;pyfsv gocumwz;BN3IL70QTOUF;204191.96;mqqivf xjdtsv;105;28375.3;0;0
DD7ZMUZDCP38;Montevideo;Londres;xvewmj rmlen;53JVH3FCGGB0;99570.59;slmjuuj cyywb;0;0;1;27167
7UJL1Q0Z3D0X;Buenos Aires;Madrid;powudmh gsixyftd;2CG6H7P60DXU;29325.63;ptujwz bidizmy;0;0;1;30955
IQ9E16WBGNBE;Mendoza;Madrid;mpuupebr vtyjabkd;OF540N1RIGE8;339879.51;anlhzaig gqwffo;180;27469.82;0;0
19GU5MBPPAYG;Rosario;Napoles;esvqwgzw uoktekwm;2GXDSS2LEZ76;117012.26;fnmzhcm eakqnqj;183;30315.25;0;0
V0OVA1QVKXLT;Cordoba;Londres;hszshs hzgygaji;35IPJ8XR8IUZ;210489.0;aopzcal eenntghb;11;31123.94;0;0
BKK5AD35UWKE;Mendoza;Napoles;euryn osbasf;MCSUG4EVGYKZ;59538.6;reopji ldtgv;0;0;3;30137
HK5UF0LS5CDX;Cordoba;Napoles;rwkzwgzt hdszeisz;OVXIHLOKRP4F;86221.82;dfzhct hziiovpc;0;0;1;38249
83N3184X9V31;Montevideo;San Francisco;wouog jlrgttur;PJJQEHGAU4TU;41951.29;agupzm gigtf;0;0;3;30166
MCB3I5H7EEG7;Rosario;Londres;wplmgh zjmvf;W9GV1N860HO5;127536.59;gziscx qjmkittd;0;0;3;38062
0QOEBVJ8JOMH;Cordoba;Londres;sjdplfv zwebvfbu;4AK8M3880AB3;146544.21;rygqdx ztbzqddu;0;0;2;39443
CKTH9G46K7FZ;Cordoba;San Francisco;rugdvyr kvcqccmu;E63P7N0JIRHF;232234.72;zksgmsjy hapvc;0;0;3;36421
NMMZG1EOYFMW;Mendoza;San Francisco;wxkahcp rmfgzjy;Q53E1PY2JQM8;147938.76;quqywz xjbskue;0;0;3;40133
JGSBB6DQP06Q;Buenos Aires;Londres;sarzz tsyvkc;5XCHG80NN7GX;140090.54;thbbz jmagtk;72;27358.22;0;0
MUDZIAG4IJOK;Montevideo;Londres;snjstvhs gvicudq;0KZAN9AUUUDN;140468.32;mapnzfrn kmznsikg;89;34659.19;0;0
M3MAFJZM4Y83;Buenos Aires;Londres;pzcsq wqzya;2SRUFAG10MOC;264700.43;cylhxpu tditruf;0;0;3;41711
9RWN4SSPXKVW;Rosario;Madrid;oeuyy adnlo;UKQ448G2TY4C;301477.24;rmuhlgt jmwim;0;0;1;35303
UP4LX7ZXVQ8G;Mendoza;Londres;jvmwg hmdlo;NZJUUHPQIXCA;286028.08;sqglhhu htblw;0;0;3;19056
8OSIGFTD941G;Mendoza;San Francisco;igxfdcbf fvzsjanj;YIOFFKSUQQN2;334441.92;ctsnjbh fdugt;127;26470.24;0;0
X52O31ECGQ64;Rosario;Madrid;pjpzmde tamjih;UQYXSNP2LS2I;186545.57;agnamkwo bgelrlp;171;32966.15;0;0
GMVAKW402AEN;Cordoba;San Francisco;ghvyki xfvebfi;X3U0EVO7RK86;274542.83;ycwse bsxihp;31;27758.66;0;0
HJNWSLQTC0IC;Mendoza;Londres;iemngvf armwx;3BEXEOO6EJ8B;32058.41;govjbwv cufvo;187;34631.79;0;0
3OX1J4VR480P;Montevideo;Madrid;plkqhw xcjcqmy;7ZQJ35JDWL8L;312658.04;tpllokcs jngxff;95;26382.75;0;0
QPL6U4JR6KJA;Montevideo;Madrid;lgltg gqguogh;88ZB9Q3X8OX6;343509.07;fjdzmtm keuhw;164;34280.62;0;0
5IJIA4HD8H10;Cordoba;Londres;tvumg lcjkpdm;YDQLIKPF400P;107245.51;zetdqwf sdoglriq;0;0;2;25830
IULUM3KEF708;Rosario;San Francisco;metowt tjryfgwb;IJHN3C4FG72H;297202.93;fzhdqt gskhbl;0;0;3;42924
H11LTBB8LP1E;Buenos Aires;Napoles;rncpq pvkisbif;5Z645HLHGI6E;252390.65;voubti ptzujhbe;180;34975.26;0;0
K8DKZSAK5AB9;Buenos Aires;Londres;wssopz rgvpesxe;ZQ6DV7I31DAX;27063.75;ffbrdr mjmfcp;124;30696.24;0;0
7LO8PIG4NGMM;Buenos Aires;Londres;bnsfug dhgdba;3CQCUYWSAGWG;40575.8;oxshlu znplust;0;0;3;44163
642N2797VNKT;Cordoba;Madrid;lnmkb hedlqget;9H1S9TRSKLQA;55421.33;fiodvnc mupsqppx;0;0;3;35674
M6FU8JCU2EKC;Montevideo;Madrid;piwidni vsvyq;6V84X345BO6L;157804.67;zcsirczc lpkgkct;0;0;1;28382
NP9BPO31PW64;Cordoba;Napoles;jakuyt lpewfa;CDHFA91U27BZ;119023.16;dkljpb nwglv;0;0;2;25215
G3RA240R43PA;Cordoba;San Francisco;ubmdhk gxxgz;IXL50RR7J9QK;271073.19;ocsjt fxhafpke;0;0;3;40492
GL4EYEZGVMS9;Buenos Aires;San Francisco;vmbgjnf nmriwn;U1NUP85OH9QM;178088.85;oollfw lmvkjjwq;0;0;2;23779
IJGG6PCZM5YQ;Mendoza;Londres;ekyyck eddnsl;5BFE0DNM68VR;32237.93;lldrft fkofhtne;0;0;3;24325
ZN1HW17SEDFX;Buenos Aires;Napoles;dktebf uanzj;5O0EYRIPMP7T;181070.99;jtxav myctxcuj;153;29268.52;0;0
9D1B8UZQWN7S;Buenos Aires;Londres;mbecgrlz vufohh;1WGBVHG4MF75;176429.6;mxbqos nogomo;0;0;2;39733
6J42DO5FSPSI;Buenos Aires;Londres;ydnxqtpp khfmfro;XXFP434B18TS;343853.62;uduljdql gxxsr;136;30391.45;0;0
0FGVGBX2MMNA;Rosario;San Francisco;ztadk yijtwhfo;QAIQ91J1YE1N;214636.2;cetuy ahsoc;198;33390.67;0;0
DG1XCMC289TZ;Rosario;San Francisco;mpmazd bxejljwa;U4INMVQ079CO;78676.02;jbhyq clzjhkd;96;27253.3;0;0
PD0B344VRCA5;Mendoza;Madrid;kmofbd gqsqwq;8380YJ5E4P35;157546.28;dkwslyb uhwblsof;0;0;3;33241
WKE24NVV5SOO;Rosario;Napoles;qujfwzm lbraxr;6KHZV60171TF;345560.76;ysasswa pgdcwg;0;0;1;33968
Q8D7SOP4NKQ5;Buenos Aires;Napoles;unftstvv erorthy;X2VETMWU78WY;161149.66;dbgbxm jzwoqdb;172;32761.0;0;0
ASIN09LR6RY8;Rosario;Napoles;zuellxec alyjmb;QMJH9VJ6SBDM;25770.44;cqkpmosf trskokh;63;32828.56;0;0
441IXKQ5DVEK;Buenos Aires;Londres;factwht npqrms;3R4KI981UWLD;45100.56;gilgegw uclojl;162;25709.63;0;0
F7A5VHJY64V7;Buenos Aires;San Francisco;tqymm snxfk;ZTLYQGWMS418;260149.73;ouvtd sfihcl;40;25437.54;0;0
3ER6A3SE963I;Buenos Aires;Madrid;xciwbkcc lynxbp;HGQ33L2L2WSO;44531.56;vamkbip xjlcwrdz;0;0;3;35282
H4V77T6XYF6F;Montevideo;San Francisco;panbjj mdtbjn;PF0CCKKF5ZXC;280115.53;ojxfrqqv rqrnjo;58;33235.03;0;0
8X7HNZTOJNGX;Montevideo;Madrid;mxmumju ozbmxhs;8NADLKKR9UBS;42655.33;ylxzt ylole;43;33405.7;0;0
6LVNKVQQX8L9;Mendoza;Napoles;lkqjp pbldmmup;M6CJ9UL95ESL;231667.69;xzkgym rcihjug;77;34312.31;0;0
7M6XTFR1BU4M;Rosario;San Francisco;lbtzx vkerpvb;2HBR6FKQCS2X;74454.84;hjbiz ywiclvf;104;32977.02;0;0
12XW6W4V89LA;Buenos Aires;Madrid;iyddrz yfwrp;O750A2WUBJRP;104381.43;hcwdgw wslyi;0;0;3;19577
YDJ3OUXLL710;Buenos Aires;Napoles;ztzyswus ecmnkch;PCCQ4QW094TO;316575.07;vzpvdw opken;15;30400.51;0;0
5V819VRCML0A;Rosario;Londres;ymmboac twaqoid;0SHDW48BWBZS;272004.56;wjmlcen cmdahk;134;25014.15;0;0
KA4LR2IH1VMN;Buenos Aires;Madrid;clehoz oayxfo;M3KE7AJI1JA3;105830.19;qalkrxa bhebex;57;25079.4;0;0
N0IJL3XFEOSP;Cordoba;Napoles;rialad amvrmlcd;5ZN3DHR3HKN3;180994.31;qjsyrvg klvcr;130;28684.18;0;0
W3Q7TWYG7TQQ;Rosario;San Francisco;mtvsipj xxqzyhy;HYSHMQ4R2L8O;217405.59;bwuolczs fkvzbp;0;0;3;42209
KMDGWSHVTZS1;Montevideo;Londres;zvrvz diwtlbhe;I973RGE6HILW;263487.59;lmofyo fjxbfmw;164;25688.02;0;0
5VG4MQGDQN0P;Montevideo;San Francisco;fwruldy wuwhjlp;24V943NG5GU2;52038.11;gamouds oqcnbkn;0;0;2;42757
W7K95BYZ9QYD;Mendoza;San Francisco;rzama qsvxdir;LJOSGYRXFMOV;75467.23;teqkjow szctf;118;29960.97;0;0
UVM9I1Y206GA;Mendoza;Napoles;uwdawiec pmkxxej;YRDNXS8OCN2O;66587.14;uhwcjpb snnkdx;0;0;2;26155
KM8C0SMBHM9F;Cordoba;Londres;ksdcixtr nxltsihy;3CUVSAB91KWL;273763.71;adidzpus aeksa;0;0;3;28294
9C056Q9SFVD6;Montevideo;Napoles;azoplq bjdutlz;GPFPJ7L8JHTK;151489.15;ewsclgn txpnluo;193;27310.31;0;0
7HV28QWDNSCH;Montevideo;Napoles;akizv hnidzs;NT1JHPJKJ27P;189969.77;zwdmvcm lqygxws;170;25800.59;0;0
N3W1UNSYQK7N;Rosario;Londres;zukddo sjnjs;7LJYH7IOX01Z;258759.73;ohcbe rhwudb;0;0;1;18874
S8ZGTGCI9HLL;Buenos Aires;Napoles;ccrvf fxzhw;03QLLLXVZL1T;21729.8;jrniril cvcsw;122;30101.82;0;0
9R5MHE25WFRK;Cordoba;Napoles;samaor sagoam;KSUJ4XT36FWG;340856.23;evckceyp reryehc;0;0;3;28713
04U37KOOR0Y9;Cordoba;San Francisco;aochbfs bjxaiwm;T86IWP25DDCT;151178.89;twzls yoaavq;130;26402.39;0;0
J6JU4TC64Z8V;Buenos Aires;San Francisco;ixnvbt apfnx;49VWRTCVS4TL;215387.12;vahtvp vicood;0;0;3;23350
C1V2XWUV6G4K;Mendoza;Napoles;gcunct yaqlrya;JCWPO4RDUYO5;283192.19;lhtnubyc jjvuaze;0;0;3;26472
9DLPCY6ZH7G9;Montevideo;Napoles;evtmqvz mzjmf;G7CDR2MGNJN7;158892.91;ucxfn ikfcm;193;29388.93;0;0
BVW7SYVO2CEA;Montevideo;Madrid;evbww aoiqgol;ZNTS7P5GWB17;210365.63;gsapr qcodj;0;0;3;36250
Q5FH9D2Z2YY3;Rosario;San Francisco;ejmed odnkoiy;C8KWAJ84HP5S;18947.83;osbqx xzazeo;151;27116.71;0;0
ZBIQNYD1JT88;Buenos Aires;Madrid;kcvdz jrcrhzmv;MOW34R9PAUDH;329707.08;lijbgi lkltievo;87;31526.29;0;0
SUZJ1BHTO7PE;Mendoza;Londres;vmlna absji;ZW78ZX0FBBSF;344411.31;rqacwann wnzvyi;0;0;2;28540
2S347EF6HZJ3;Mendoza;Napoles;pkgmwik cvyxgyx;C9M4S77XPBE5;168926.98;shgiq rrasyplx;45;28245.17;0;0
4TRFAYKY6SSR;Buenos Aires;Madrid;jehzf cmngype;GHEEGRFGZGU7;270196.89;guukkm pqdatmqn;0;0;3;36019
EP4NQVFKGCWZ;Cordoba;Londres;rhppgm xdjqm;QBWM5TCL6C45;298995.71;blizxz ppniln;33;28529.52;0;0
F8DQVHZYT0M0;Cordoba;Napoles;egucjo xgkysumy;CAPXKXMVQJQF;251460.42;scjowvq gdumd;0;0;3;38246
Y2T69A5M719X;Buenos Aires;Napoles;mssowhby fcbdtui;9944GO30FBO9;73273.09;razmis ohtnlxq;0;0;2;34946
3KDN3LID3BXY;Montevideo;Londres;nkcicr njqiuhv;PGC3B8CYGI52;320201.05;wlijdin quynm;0;0;3;40022
ROI3EIU77YMZ;Mendoza;Madrid;momxoxkv fense;Z3TCB4VU7AJO;133689.04;mpiubjoe avnvgb;87;34587.27;0;0
F60NMDUIGTD4;Rosario;Madrid;pxupuzms ywjid;VCQMA0XJ88AH;313060.83;pfkmrd aowascg;0;0;1;25663
AKDSVL5Y7MRK;Mendoza;Madrid;ojoutr lbbpsehd;UO7UZXGZYZWB;131896.8;nhsxqsgh llcnpms;142;34906.1;0;0
W11GKAVTL66O;Montevideo;San Francisco;obeovnk vjnlgav;QFO85O0JVJGN;94654.53;rnewklvh pmqwsrh;37;30536.28;0;0
9TQGKGVY5ZM7;Cordoba;Londres;lfcms gewrawrg;YL2D0KHUUJ2D;283112.94;vwniq onkjen;59;34106.81;0;0
JBO3RQDV8M7E;Buenos Aires;San Francisco;ecfpi dghoja;9Z735URO5N8N;81225.36;anrovec etaxsc;149;34756.33;0;0
TALUJE5VWG2K;Rosario;San Francisco;iovflyul umketv;IJP1W2RQI8AQ;45091.89;xcesjsj vzvdz;81;31113.39;0;0
OV70IZM8DUMZ;Cordoba;Napoles;wezpmq gitrfzf;LDCNJUEY220B;158153.97;rcnbvr aypvldda;0;0;2;20210
SM9PFV2Z60NZ;Mendoza;Napoles;vxpelkso idwbf;4F90SSAAE0B7;158703.68;biuxxok gfktvu;0;0;3;20718
PDNW6MRDC24B;Cordoba;Londres;bqdhcnox cqoel;XTDISU4344QH;286796.02;poelzpoa tsajzki;0;0;1;23344
LKTB1DP6OR1B;Cordoba;Londres;ebfxzvme tpjat;J7OLEHNKWOHZ;53468.31;gnjrx crjmab;15;33136.74;0;0
5P5FV70XVBMO;Rosario;Napoles;rlckfrq qxdcn;DMN05HEQUXQK;276612.76;fexifwc kxsvu;23;29363.0;0;0
W9QDK9P37IPQ;Mendoza;Londres;ogmsvwz fdfeekag;75CRQIDMBVOX;316327.66;hhmbvs mieftic;152;31803.26;0;0
9D9A7R1FM1OV;Rosario;Londres;jsvility elida;X5Q4U3WF37IH;215984.19;omehlp pnewq;42;25987.85;0;0
6F8T2DMV6IO8;Buenos Aires;Napoles;dryhkzt duzykrdh;KJLZREO8UY5N;112991.15;jiunwj svdjq;0;0;3;27854
1ETQ7FYFT54Z;Mendoza;Madrid;mrkkd qrhfxm;TW27XCIYUHOK;141192.96;fjzcyy gknkkcwg;80;33196.96;0;0
OY0L836QKAWX;Buenos Aires;Napoles;hqeiub dwibcvku;9DGEXKKXM37W;39690.36;wcuogjul qrpkrhu;39;29933.31;0;0
96MHZKTO1HUG;Rosario;San Francisco;dlcsydrv cfizourd;COFZQTZOKVB1;46697.48;tbftyxes lfbcw;83;25893.42;0;0
NPHRCS2U65LC;Buenos Aires;Napoles;jtzsi etezoutb;WIMR8W08NHLA;98680.14;sryett uusdir;109;32594.23;0;0
J6ISCP02GIA7;Cordoba;San Francisco;tcebn wyxvt;ZBVP5UE2DIWB;120008.29;eensxnop lkfrru;173;28491.55;0;0
OIUSK34JM8V0;Buenos Aires;San Francisco;quibhwdo bhuqy;LSMSQBB8LRHT;124256.86;pqvdnad tbwoh;0;0;1;34190
8GPUQUJ0IDQJ;Cordoba;Londres;pddah gunolld;N8IHB8Y4XZA2;27281.09;bidvrreh xxhjied;0;0;1;43164
ZGC3ULD7BWHK;Cordoba;Madrid;hqwyjqu jrkyp;P9JTA8OZRV6N;16702.36;bkugc chtuhm;95;33125.36;0;0
1OHHDIHIL52B;Mendoza;San Francisco;miizisie zsffm;N6SYE7COLCYT;247265.66;hzknfrxl kwhxfjyv;0;0;3;43247
XQTZN38RR7B6;Mendoza;Madrid;lhebbn invrrpcm;VSGTOUO9NGH7;312589.12;pbssefj ecjqhd;0;0;1;30465
XIVP5DZHA2LE;Rosario;Napoles;nrhpmis ddrfwirg;CW8ASWOV79OW;182529.44;fpuglpa umzyafi;19;29530.69;0;0
6LVYQT9BTDR3;Mendoza;San Francisco;gfobvbwn tgvupm;TLBQWROSM33J;269615.4;sudqcvpd pvdgjf;0;0;1;38637
AU2SL4R34KEA;Mendoza;Madrid;oqrazyz apcpwxt;Z4H2QX7QFL8O;284892.43;mtnpm hcwzgoyv;0;0;2;27728
MNBKOB0ONVDV;Rosario;Madrid;xsyytrwt xgqutfhk;X7L7OQL7G13S;158108.73;nlddtvm lmqeadgo;92;26476.27;0;0
4CB52JODYPAQ;Cordoba;San Francisco;yrpwpbr zkyhufdm;PB2ONJ6QXKZH;269922.82;snpbdd zfklyhnb;64;33817.1;0;0
8T3NNI37IY1A;Mendoza;Londres;qoleha mngabagf;1Y4CJYHWJ6TQ;334728.08;rzwpbki pqfhiu;0;0;1;30401
YH5ND5DPMBEA;Cordoba;Londres;wwczy dttvm;SSUQW8PVFPNA;40980.37;qndlmibs hacpy;0;0;3;44425
A2IKR7SRYWNS;Buenos Aires;Londres;hjdoes cwndxyp;0F71KPP50V52;126843.55;svragp oalkgx;110;28273.95;0;0
YEWY58447QA9;Montevideo;Londres;hxxhoi zqkpjks;WSWS7P6N71JN;116801.82;kuigxvpc rooxnpoh;0;0;1;24687
WVU7BS20JDOB;Mendoza;Londres;ohsbu odufnxuc;XN3IYG6N5AUZ;48001.44;zgwothb bjbfvvmg;42;32758.16;0;0
FP0PPIQ6UZ8D;Cordoba;Londres;tzmyy rotplaff;7EKNKOBTZ85A;245715.56;vmdvv iznuvl;112;29091.86;0;0
9I2I26JV2O5L;Montevideo;Napoles;lfego hwadpo;RS32A8HMDAUO;309177.93;iwnmmbnt lxvvi;0;0;1;34752
R6LFARL0SKJ7;Mendoza;Madrid;odwwmujv ibgnpads;2Z3CO19QZ4KE;257865.14;fofiywwr gxvgu;0;0;1;22020
EFMENJ3WWC33;Montevideo;San Francisco;cjbmoytb ajiutvd;5OXOI09HDRN7;25282.31;gqkoaxk hodxo;0;0;1;36058
DP4EE5RN0T9N;Rosario;Londres;xtpaxtet hirrkal;0T29MP4NGCJV;289690.57;dfvdkr cyzsbn;12;30940.17;0;0
3PXZJB1X7CGN;Mendoza;Londres;wswriir ewgkv;ZEYULPCLX9MG;262832.75;vpzmzz kftxq;177;28444.3;0;0
NV2K0HSH9OQY;Mendoza;Londres;hsjnbc ywbytxb;BLIUA4ZI7OQS;21101.5;cjjpf djdrzdk;0;0;2;41281
OJVBZGKWUXCE;Cordoba;Londres;fpaajvqd mqaxslvl;KS5L0Q2BBCI3;311566.55;uyejonot zulzm;57;27382.7;0;0
HSVV0R6GJOOY;Rosario;Napoles;ulnuukbv xdhnfnf;5ABM7G4QUVIR;161308.38;xhacr ebufc;0;0;2;36780
2V2CU0QTKWX5;Montevideo;San Francisco;kgsew dtkqp;JLF2GR545I23;237658.88;guqcpa ifteuon;179;32437.12;0;0
5L2B6I1OICWN;Rosario;Madrid;kskbflh plebna;1GCH6J1WBG22;34440.98;nqurnjxs zibre;0;0;2;24458
5GG3B2IH7UUF;Buenos Aires;San Francisco;mkzlkpr verkh;BV0XHYTDYZ5U;79287.75;jbfltiqa zgwzw;0;0;2;34895
