factura;importe;tipo;nombre;perfume
61598429:08;103392.5;C;Sebastian iFkKw;10
48206968:08;79850.01;C;Irina ymOrTZuV;16
6242391:08;129230.69;C;Juan GXXdF;4
14078903:08;61714.18;B;Ines JkVZG;5
241062:08;88406.11;D;Irina ULLIeZ;7
71008963:08;117316.17;C;Martin NloksfcC;9
82324301:08;114931.66;C;Sebastian hltoOjTIj;4
61810584:08;110761.99;B;Carlos sLqaiZrr;13
15225657:08;42702.21;A;Sebastian kmBnKSXo;10
58242739:08;41816.25;D;Olga zsaHOGt;14
92955107:08;23631.25;B;Ines iCtRFIRWi;6
36888641:08;22034.2;B;Laura LiWjvPp;2
13788436:08;19416.9;D;Juan CgMioOD;5
7748355:08;124222.69;D;Irina hEzURk;10
84677196:08;146501.2;C;Laura dntFBDBns;8
13542028:08;28555.64;B;Irina DPIMg;15
81751875:08;127206.12;D;Martin GVQgiUXJI;2
88414515:08;136235.65;B;Martin YDrbFCP;7
91157312:08;101938.01;C;Carlos pezbnassm;3
97730841:08;105459.65;B;Olga WFjunzFo;3
62947373:08;32512.89;A;Martin CzsVjkC;1
16659899:08;22455.91;C;Carlos dgwGyYk;15
17785894:08;21539.38;D;Sebastian IWNPAv;7
26370381:08;69864.72;A;Juan HjielhGs;17
16236066:08;16946.43;D;Irina PWWJz;11
58166250:08;78717.89;D;Carlos tVkVzL;3
68352331:08;146304.31;C;Martin cDvipyGE;3
3404765:08;24423.17;A;Sebastian tgbkDrclu;5
46803102:08;39639.47;A;Olga cNivs;5
50399275:08;42506.51;B;Irina Zrgokdq;8
40729967:08;33973.46;A;Irina XpBBuhFU;9
33385454:08;42306.56;A;Sebastian ylZLDfj;5
1771404:08;142724.99;C;Laura lIQXttLrG;15
29575187:08;121998.85;C;Laura POFqfACLC;7
60402100:08;17655.43;B;Laura gVDvf;17
75562825:08;62232.0;C;Martin iSrPqvx;17
23633860:08;91283.41;A;Juan axRdty;4
19809717:08;78115.43;B;Irina vyjAfUxO;1
36481485:08;62254.8;B;Laura UYUtkIIHT;7
70877182:08;48232.62;D;Irina nicqSUxo;8
61772419:08;81939.45;C;Irina KoFSSpiVb;4
37253914:08;130377.67;D;Olga hLeeW;17
34724584:08;101662.37;A;Irina DaMyzYIOJ;4
52099394:08;40785.46;C;Sebastian VLniPaD;3
75869010:08;118088.79;A;Irina CEJhlc;3
49098924:08;128082.73;A;Martin sjyQqeY;6
26459485:08;78116.7;D;Juan oveND;11
2965615:08;24971.34;C;Juan Sqbdvd;5
1804000:08;74375.23;D;Juan nBdzx;16
71905640:08;116240.3;D;Carlos YvDho;3
9730994:08;147717.55;A;Ines SHmBOBHO;13
67662217:08;136874.51;D;Carlos zlNxV;17
26720236:08;23670.67;B;Irina rRHPM;11
98092765:08;93935.97;A;Sebastian FmirWp;1
87340480:08;56989.03;D;Carlos mdJfHOHvq;5
34057239:08;138988.87;A;Olga UEKaG;4
31748644:08;132980.63;A;Sebastian THVjHz;16
14011259:08;39602.66;A;Martin CgnEiyiJU;6
42305161:08;85119.16;D;Olga esdCU;11
6000782:08;23146.4;A;Ines HbKfb;13
26784393:08;103907.11;D;Ines wFqNALM;6
13473975:08;100363.6;C;Ines zJlpbUuU;1
65726857:08;98651.58;A;Ines MsYGGj;5
25606595:08;42706.04;D;Olga hvBNhzZKF;14
92780439:08;22956.89;C;Martin aOQXCK;5
5293018:08;87494.45;B;Martin vmJWxhAwc;8
53306797:08;138575.14;D;Olga mXUKK;3
9025658:08;137804.73;D;Juan kMNQcsQOU;7
91025659:08;123475.08;C;Sebastian HsFfcrhX;13
54493612:08;34109.65;D;Martin hjRypU;11
89977382:08;101587.56;A;Irina Ijmekq;15
42994470:08;65726.91;D;Juan kkIWykkHR;11
84612812:08;135283.08;A;Carlos FMyvPZjV;10
11825856:08;135695.89;C;Ines LxLInLpmF;13
39595923:08;36567.34;D;Juan JWugnjk;1
53714416:08;131829.48;B;Irina ubPVGqdq;11
58953209:08;135912.97;A;Olga KpTeXy;9
42889476:08;112016.86;B;Juan vwrgz;16
51775114:08;66985.59;C;Sebastian YYApk;1
9461052:08;65865.94;B;Martin rOiLrK;8
15082436:08;105404.62;B;Carlos OSFTCfjrl;15
30485852:08;63840.49;A;Laura SaDrpODP;15
61527671:08;76958.2;B;Irina RHWGrps;16
30687137:08;104120.13;C;Irina rrWeDgDX;6
81179134:08;92498.88;B;Juan xAKbvj;2
9464633:08;107567.67;B;Laura tuDXPGCx;15
96408008:08;112771.45;D;Sebastian CMNXGvm;2
20305958:08;130854.62;C;Martin OFnnVV;7
75263611:08;80636.95;D;Juan DZCQbk;12
56448966:08;47180.19;D;Carlos hHsKh;15
71886001:08;119452.72;C;Irina eCvmY;8
75171902:08;24061.71;A;Martin Zbbne;16
24171287:08;76294.94;A;Sebastian XyHkR;8
75438866:08;25621.8;B;Laura UupbW;9
6268471:08;115261.34;B;Juan RGTfoZmB;1
72437319:08;62832.91;D;Juan SMPVvyU;12
15640066:08;149713.95;B;Carlos WlzWSxzeG;7
4713272:08;127629.87;D;Ines SswPkcZ;17
78233683:08;72152.25;B;Ines icGDJst;12
70650970:08;124706.81;B;Juan QBeWiHo;11
25931701:08;86173.14;A;Ines ycOHWkThL;10
91633144:08;69140.49;A;Irina XxOqt;4
53400711:08;28121.67;A;Martin XpTNh;11
91010806:08;78836.91;C;Martin MwgsTd;1
86348082:08;40850.61;B;Juan oTrXV;14
76997399:08;109087.95;C;Irina rWfwcwmnN;6
1393853:08;55924.98;B;Ines HOZtFT;15
35439906:08;135289.63;A;Martin osqsiKS;10
80369135:08;148187.39;D;Carlos cfOOt;3
30338332:08;99577.69;A;Olga aDNreJcE;17
86296801:08;139213.94;B;Olga bunKJ;4
15008106:08;34954.99;C;Juan TtxIk;5
30330981:08;30753.35;D;Olga kkbWdbHv;12
32885096:08;117319.47;D;Juan HYMppB;12
15416474:08;145035.45;B;Laura XKwnGv;4
86610821:08;105838.94;D;Laura fIFBIpk;7
8243164:08;80068.42;D;Sebastian fWzeGNU;16
23915951:08;139420.0;C;Carlos QIFTI;12
94869853:08;114417.9;A;Ines blMbZQH;7
65867502:08;67050.15;D;Ines oKlPi;7
73259366:08;86966.05;C;Carlos NHBpXGLK;4
19212339:08;49453.14;C;Carlos QOrZCnp;14
82691461:08;69282.56;B;Irina PtYvO;16
52985830:08;16900.84;D;Juan pKabHAi;7
63259944:08;50047.77;A;Sebastian JmQGVTr;3
86297852:08;39926.49;C;Martin nhyZwQsC;10
13621104:08;113626.16;A;Irina OQpjNNQg;3
39705543:08;145785.21;D;Juan dgWGED;2
57069831:08;47617.03;A;Carlos yFPBRWSly;8
54613585:08;105329.3;B;Laura hEsxeji;6
4991146:08;50597.96;B;Martin ReRNZEmJq;9
4063626:08;110607.2;B;Olga cueuH;9
59168005:08;143781.73;D;Olga HegudO;1
20280536:08;126648.29;B;Laura vFLTsu;3
35232500:08;45056.86;C;Martin tNpLSRUT;1
88945608:08;146094.26;D;Ines KPOtEst;14
42293069:08;24775.2;C;Carlos BLJcXV;2
22763503:08;31097.75;C;Martin QZDqwvB;12
68463049:08;101829.22;B;Sebastian mqxyXvW;10
32167941:08;85502.99;D;Laura BxnOjUgf;11
61031183:08;105947.24;B;Laura fetMbaOV;10
9740861:08;96827.24;D;Carlos wVHTNQZh;1
58720018:08;20720.09;A;Laura OgWwkk;5
75367067:08;68691.54;C;Carlos CfibQblut;15
28386791:08;80829.68;A;Martin vvirlMac;14
13410844:08;145681.88;B;Carlos HtBMED;10
22342597:08;18912.43;B;Ines tWUGu;3
68449060:08;52535.84;D;Carlos oADEqBSpN;9
32989823:08;139039.61;B;Juan JfcdzIL;4
85426511:08;93045.9;C;Ines tNkyZEX;16
46321749:08;144883.69;D;Irina srINzdhB;8
64755229:08;83812.39;B;Sebastian RWjHW;1
6549522:08;49751.84;B;Ines vxzDS;10
90621983:08;123919.09;C;Olga FGGWf;4
91769764:08;135303.41;C;Sebastian osaQmTVv;17
93299791:08;34972.6;C;Sebastian VElrinq;4
41648596:08;60184.21;A;Sebastian TWrQjVdxR;17
34829712:08;56503.99;D;Juan rPNPz;7
24039658:08;68613.1;D;Carlos jcBkMCs;14
25823115:08;45542.81;C;Ines iLGQEDvN;15
3450102:08;63460.25;C;Ines eBhTPFJ;14
79078247:08;116492.8;C;Olga TDKLDk;1
60380942:08;59860.88;A;Carlos Pwsel;2
96196977:08;39061.09;C;Sebastian zXxuq;7
42015079:08;43792.48;D;Carlos svpJuC;12
52745091:08;26267.85;A;Laura TNpwh;12
9658165:08;17849.09;D;Carlos uZAYuj;7
11080093:08;83238.89;C;Martin RdRkl;17
50274353:08;133125.27;C;Carlos CURUi;4
81307677:08;31997.64;C;Laura DFJIYl;7
26946116:08;142659.9;D;Laura wnJVxhth;10
9963262:08;29102.19;B;Laura FXJmxAwgC;12
54173117:08;61279.22;D;Irina XuMiF;3
30918723:08;141596.55;C;Laura RkvmU;17
3982831:08;131430.86;A;Irina lYGpt;1
84714495:08;63059.52;D;Ines lqWJJUc;11
13192502:08;61774.97;D;Carlos bxmotIGbX;6
93486471:08;59466.84;B;Sebastian OGdRVDg;1
78637349:08;115583.45;B;Carlos vjkvaLn;14
5832172:08;115033.85;D;Carlos LRfzes;3
59173228:08;18574.25;A;Laura VmxkEYEH;3
78418934:08;65198.6;D;Ines gbcaeXwJ;15
51914477:08;119209.53;C;Martin GgutC;3
82874969:08;146858.46;C;Carlos uFeMj;16
50597268:08;81734.54;B;Carlos skqEUlHEX;6
21156417:08;75978.61;B;Ines fnPdrDT;15
59442671:08;67309.84;C;Ines qGSsJa;9
29536855:08;50051.94;D;Ines QKRrgGllO;5
2935307:08;111800.87;B;Sebastian ynuAaK;6
66419579:08;147658.07;A;Olga csILFa;5
99627627:08;99128.84;A;Irina BBYwP;10
39526267:08;80154.51;C;Irina EzRdfq;8
46368282:08;82303.35;A;Carlos vqyTLrTd;3
67647602:08;143535.97;A;Juan lcyfDS;14
60379622:08;144142.08;D;Ines XnZTFRzz;5
31773242:08;43741.31;A;Ines gkbezCpS;16
78784949:08;110051.51;D;Laura SyGLhy;2
42778323:08;40198.8;A;Ines IVeXxsp;6
14694267:08;123153.33;D;Martin cQlDEohZp;2
98993453:08;146598.4;C;Martin QTSPeSBo;11
78621935:08;37788.29;C;Juan Bhlzskh;9
57888824:08;30682.94;A;Irina pEnazN;14
47722298:08;145041.9;B;Carlos DePxg;8
55830619:08;148028.6;A;Carlos mkLsK;17
33956375:08;16756.68;A;Irina EuiAQW;13
2004077:08;40152.83;D;Juan uiCERPAG;12
73042874:08;56204.44;C;Laura AKMax;6
76742788:08;57866.96;D;Martin JZgsbmg;12
34245821:08;49779.15;A;Martin jaOnSpUv;14
41455311:08;64163.72;D;Martin ayOVxLQ;1
14178947:08;93175.58;C;Martin GWuhR;3
48688449:08;29686.64;D;Laura CMeKKtE;15
21069347:08;65940.11;C;Ines igWKTzKzB;15
9656037:08;94004.52;B;Martin EACysYJM;9
42097605:08;86832.81;D;Ines VeXmBIng;12
78424144:08;142436.5;A;Juan uURcuouS;12
48804008:08;39476.47;D;Olga atLYZe;17
73804642:08;36424.47;A;Laura qNgHQA;13
84486453:08;106640.38;D;Laura faasjuYg;4
60476350:08;95721.31;A;Ines jGhJiGgEY;14
11214889:08;113230.12;C;Laura tOcUdlW;5
19498270:08;100783.56;D;Carlos MELNbYKe;15
86417840:08;40277.46;A;Sebastian gCFlxD;2
74097537:08;129455.75;B;Ines FvkkHX;4
38847965:08;60779.82;B;Laura PDfkNqe;4
34437953:08;103716.45;B;Sebastian qZlTkZD;17
53738564:08;61260.19;C;Martin zrptR;11
52060940:08;92345.08;A;Irina OpxgaXpHg;17
55805296:08;16598.94;C;Ines BqSsyOgR;11
63770544:08;127491.72;A;Irina pAkSVd;14
74355728:08;16284.9;A;Carlos jvYOEQa;7
84802481:08;137682.38;B;Olga jaFFnUgHJ;16
69388646:08;126783.05;A;Laura rZdFIlkj;2
31856931:08;34607.8;A;Olga lbtwtnChN;8
13836652:08;138974.71;A;Juan CRavMj;14
61684643:08;44612.76;D;Irina YQNDIZyEA;8
90328651:08;58180.89;D;Ines LVyYvpZFo;5
12553597:08;147171.71;B;Irina FuqCOIrH;13
3067702:08;128501.18;D;Ines UCyBtNT;16
26531195:08;69512.16;A;Juan aEqjkO;13
84505724:08;60022.74;A;Olga nELNufC;8
27576980:08;76406.34;D;Martin EqaabXm;2
47729385:08;61169.43;B;Sebastian oArDUXaI;9
60330499:08;134190.76;C;Martin IljjHtiT;2
30829396:08;54710.28;C;Juan vojso;17
54253603:08;114617.23;C;Juan dNctdo;5
79140827:08;33996.49;A;Martin SfQKC;1
10928437:08;122862.19;D;Ines eCnFhq;12
5576079:08;40563.7;D;Laura jsQFaB;7
16170050:08;56464.71;A;Laura fRKnK;17
40264859:08;94121.88;A;Sebastian qJOjfKa;16
88591968:08;77050.72;B;Ines nwIfohyV;16
43684444:08;27211.15;B;Laura taofPSCJf;4
23601461:08;51055.75;B;Martin PmSMW;14
86897326:08;132036.85;B;Laura myYypBmp;15
67113063:08;112421.92;B;Sebastian JxWPWB;8
43874675:08;99971.0;B;Juan DlDcOXo;12
11447121:08;19708.09;B;Ines UEHNvysR;12
1648903:08;44631.92;B;Juan uHiIy;6
42456005:08;104180.92;A;Martin WaqgbfWvm;7
92877561:08;117770.85;B;Carlos rlzbte;7
78447864:08;73319.13;A;Juan iaLVlpDOH;9
71090658:08;91997.63;D;Juan hXcfayO;10
44004303:08;136925.58;D;Irina WHxHQNe;11
94894925:08;53189.93;C;Ines BlghUk;7
75648641:08;143487.17;C;Juan OHTfzaX;13
94783049:08;16074.97;D;Martin kQYIEkb;8
84978033:08;104208.61;C;Olga ceaJFOH;17
40377187:08;91628.51;D;Sebastian rXrVNgLTV;8
79621780:08;96547.61;A;Ines nDIQjVpEN;2
91792864:08;99087.81;D;Irina zkYqtg;10
43408924:08;56305.3;B;Irina iIcVK;1
6782509:08;122710.17;C;Martin nMlrKpRS;2
43783866:08;94816.93;B;Ines nmDsJF;13
87978330:08;83665.14;C;Irina utAKO;12
36962166:08;117032.23;B;Laura drMmBoJTS;13
1489849:08;17493.09;D;Sebastian ecZXlSulO;5
22321372:08;43256.18;A;Sebastian hiEZIjZ;12
47228928:08;24588.07;A;Sebastian WSpdAlv;17
57980111:08;118728.26;C;Martin WooPC;2
54718705:08;42403.73;D;Laura ZZxPZoi;15
23942161:08;96660.85;B;Irina oNSctJkl;2
72295996:08;113796.31;B;Sebastian lLVNtcOZr;5
40909975:08;119846.2;A;Sebastian rcIAbXp;4
30918608:08;146250.76;A;Olga gHvPnUD;4
2928880:08;72745.28;B;Laura cQIQHMaf;16
63749523:08;58763.15;C;Laura mkhdThf;8
32722354:08;46734.81;D;Ines kDAYDGe;13
76518025:08;85570.76;D;Olga EjhCD;7
16383616:08;111197.4;B;Olga CXkDvWskz;11
36766483:08;62408.35;A;Irina qqSGZs;5
38820460:08;119841.77;A;Juan lsVNJl;11
13043996:08;133606.18;A;Ines ngMyla;7
83682584:08;109799.82;C;Laura sLIWjcB;5
61176547:08;103859.84;C;Laura Zeisnx;13
35099855:08;114428.71;A;Sebastian tjgWMNV;11
51470206:08;43275.02;C;Ines GObzD;9
87674653:08;86405.82;D;Sebastian zwbFMVXK;12
8965511:08;67927.22;A;Carlos GHgFbtR;13
62861186:08;54985.1;D;Carlos QuwBb;10
3484068:08;118535.85;D;Laura PdUpRentO;2
21824244:08;101990.36;C;Juan MUYIAtIIW;17
82335622:08;140208.22;C;Olga BBlEg;8
13338052:08;73427.75;A;Sebastian rHECxzEAV;12
23285744:08;130486.91;B;Carlos KSpkA;7
93332430:08;82834.98;C;Carlos rDAaf;13
25250292:08;84094.77;C;Martin uwhzAuWkB;11
81462413:08;23463.49;B;Sebastian xRpJn;1
62095099:08;70074.48;B;Irina xfKlCD;15
29015239:08;89554.49;A;Irina rNmwxKgw;1
89440722:08;82804.17;A;Carlos LnntGY;9
22570528:08;141254.3;C;Carlos mRNOloBhR;14
30785387:08;113619.86;B;Laura zElqwKU;13
38702604:08;147635.67;A;Irina cxAbLOp;2
48076402:08;129350.47;D;Ines wnPrV;16
81119360:08;98448.74;C;Carlos pUDBAfP;14
32327431:08;54130.36;A;Juan oufMScWG;10
36381179:08;116113.77;B;Martin OLwSiqPwP;12
73481167:08;92411.76;B;Martin sYTxsNcSx;2
34437245:08;101061.81;D;Irina yodQVFprD;17
11007714:08;148741.97;D;Carlos EmkokLrH;17
47839767:08;34192.85;C;Sebastian lGDcPNQZo;14
90758573:08;81769.61;C;Sebastian smRwCYvR;4
15181751:08;81405.85;A;Juan LTuow;12
83390597:08;122027.27;C;Ines FOWGhCvN;10
27534307:08;144420.37;B;Olga cVbzdak;2
68264294:08;25809.7;A;Martin wRepaYpBL;3
64058756:08;88995.85;D;Carlos NNhWgsvxL;8
472658:08;59333.64;A;Carlos SVPmB;17
24821918:08;75375.63;C;Laura HMUauFp;8
19073297:08;84816.71;C;Martin hzNtkJEB;7
19862764:08;103937.9;C;Carlos zETWC;8
78928341:08;127301.33;C;Sebastian xtKiO;6
33815840:08;43171.73;D;Sebastian NDkPjRTb;9
7331067:08;19337.75;A;Ines ALlsKPxl;7
8515936:08;148853.18;A;Ines tYFJByJ;14
3922231:08;133963.72;B;Irina tWvaclN;4
62246769:08;87880.29;B;Juan hytPUtkeO;13
37127604:08;99467.97;B;Martin CmjUNB;6
99698536:08;144932.52;C;Irina gPfFzALL;12
37075703:08;77690.03;A;Laura EvuSRWh;16
2970834:08;80281.04;D;Laura tJQohG;13
77843027:08;48243.42;A;Juan KDDzcGdqT;5
59748532:08;26490.69;B;Juan PfAxbf;17
94223306:08;79647.84;A;Carlos nJurCwrgH;7
29216554:08;149360.61;A;Irina uMwLj;2
67389249:08;138832.03;C;Sebastian cKUEM;10
3573823:08;48208.07;A;Juan nuGrAPSvg;8
93041656:08;109963.33;A;Ines LqqBSsTn;6
42641943:08;129289.45;C;Sebastian yYMbQo;10
89606912:08;32209.56;A;Juan maooglhU;14
73585457:08;43763.91;C;Juan qAOWIbPxw;4
26179953:08;28152.3;D;Laura xwvZjsbk;2
43541471:08;142267.39;B;Ines VvvDggeL;4
27494756:08;34963.64;A;Olga ghrlLE;14
64389245:08;88795.54;C;Carlos cIMjLhMK;5
12098593:08;117217.84;B;Ines iilfmPhLe;6
21324233:08;35381.0;C;Irina JMcdo;9
97439091:08;143712.34;C;Martin mxIufDwz;17
70897328:08;22471.25;C;Olga hQzUx;3
37459442:08;90686.41;B;Juan eMOvUsrU;6
47880004:08;67005.73;D;Martin ViQDDAE;5
36969230:08;65249.45;A;Ines zUdNgrJox;10
99220683:08;25037.61;D;Ines lMYph;4
61357583:08;94671.44;C;Carlos AaRfAHHi;5
39878457:08;66746.14;D;Laura HFPHZr;1
76752157:08;141293.57;B;Sebastian QKVyjIKD;15
4346993:08;21666.89;D;Martin wRDNFZi;8
70264710:08;144874.39;C;Laura mmdihb;4
44771934:08;45041.75;B;Martin pajijbkQ;3
36561823:08;135747.33;B;Martin cDZEsfs;5
17223137:08;114165.26;C;Ines NrKJx;9
21117858:08;22848.88;C;Martin rxADrELO;12
2673465:08;145622.29;C;Olga zTxox;1
96451995:08;148201.16;C;Irina hIxfM;14
41187809:08;119426.01;A;Martin MKfqmv;1
48283660:08;84849.45;B;Martin ecATinLg;9
58686527:08;52245.34;D;Martin pfOdPFS;13
48907473:08;145063.51;B;Carlos ZwZOM;12
76330478:08;48489.79;D;Laura EKFUW;16
22114737:08;127983.92;D;Olga tarOLjjGQ;15
28567488:08;96369.85;C;Juan QJfcso;5
988871:08;61824.52;C;Ines yLcTHcoE;4
39787487:08;118762.3;B;Carlos PMuqiUet;14
79306534:08;79572.91;A;Olga WiFSZUXG;14
25177406:08;72022.01;D;Olga wZyKHh;2
47894293:08;110775.94;A;Martin AMGHfcy;10
75370564:08;71666.72;D;Carlos dfxsYG;12
71701471:08;142771.7;B;Irina LEPeO;10
4930861:08;23719.1;C;Laura QEcnxa;5
62522619:08;94781.02;B;Olga oohhjULm;17
12081029:08;100957.77;D;Irina iBzbRmNp;14
29229369:08;72436.71;C;Irina evAFL;1
5433980:08;45598.5;C;Olga MZqSy;14
49793380:08;30054.1;D;Martin nOnsvYu;9
52406869:08;98730.4;D;Juan slywcboH;5
73315124:08;38989.22;C;Sebastian iDuEUeuP;9
84293716:08;54225.11;B;Olga yfOhRnY;16
86543060:08;38084.29;B;Olga grXpLUT;3
9241216:08;59480.54;D;Irina KRWOv;12
66119193:08;78832.43;B;Martin drYOEVTMh;13
10754269:08;127907.58;B;Olga UqZqB;13
11640874:08;111832.11;D;Irina rMoysY;7
53300141:08;147803.99;B;Irina IkmSOQ;10
1075981:08;37363.53;B;Carlos FSHdhWWvE;15
74197790:08;38745.12;D;Laura WhBfqTcSl;4
57122850:08;64916.68;A;Carlos SIOeisIQH;16
46308469:08;55135.44;A;Sebastian FvBkE;12
73212443:08;75436.86;A;Irina nUVPmRtiw;1
12873536:08;73752.25;D;Ines tnYuV;6
15622876:08;100639.68;C;Ines euhYCsmwY;9
15211420:08;130616.87;C;Ines wOyAiw;14
34255780:08;63404.58;D;Juan rsluAkM;11
34670027:08;21413.33;D;Sebastian yNyfP;11
4418243:08;129735.86;A;Laura AHgxlu;5
4718400:08;77841.17;D;Sebastian hYmdguM;10
