legajo;dni;nombre;telefono;email;calle;codigo_postal;ciudad;provincia
291325;20.755.910;Juan Turco;+5493437195562;Juan.Turco@gmeil.com;Paso6228;9214;2 Pedro;Corrientes
260767;14.683.134;Laura Laura;+5493565850013;Laura.Laura1@gmeil.com;Saavedra1854;6686;r Gallego;Mendoza
597982;20.101.262;Laura Juan;+5493407248535;Laura.Juan@gmeil.com;San Martin2937;5272;9 Laura;CABA
329511;39.375.250;Ines Turco;+5493425243971;Ines.Turco@gmeil.com;Saavedra3069;7408;d Pedro;Cordoba
225806;26.975.776;Tano Pedro;+5493435263600;Tano.Pedro1@gmeil.com;Manga6807;4828;a Oscar;Santa Fe
335945;16.230.610;Polaco Turco;+5493525373331;Polaco.Turco@gmeil.com;Paso2959;8960;9 Piamontes;San Luis
152486;44.497.479;Ruso Ines;+5493558712263;Ruso.Ines@gmeil.com;Corro7799;9084;9 Ines;Cordoba
474735;14.244.264;Pedro Laura;+5493407679513;Pedro.Laura@gmeil.com;Velez Sarsfield184;4340;l Laura;Cordoba
344529;44.685.292;Ruso Olga;+5493575683215;Ruso.Olga@gmeil.com;Corro4553;9830;o Turco;Misiones
107531;43.580.702;Pedro Ruso;+5493356386358;Pedro.Ruso@gmeil.com;Artigas2891;7900;9 Polaco;Buenos Aires
266254;35.109.448;Polaco Pedro;+5493316258401;Polaco.Pedro@gmeil.com;Artigas6123;5037;1 Tano;Misiones
353423;49.526.102;Olga Juan;+5493536634329;Olga.Juan4@gmeil.com;Artigas7639;4828;7 Ines;Misiones
210485;34.120.949;Tano Turco;+5493406290780;Tano.Turco@gmeil.com;Lavalleja1752;6143;2 Oscar;Mendoza
308713;22.796.341;Ruso Tano;+5493468519813;Ruso.Tano3@gmeil.com;Juan9608;7933;8 Ines;Mendoza
232682;39.551.466;Olga Gallego;+5493375317689;Olga.Gallego@gmeil.com;Juan5957;6580;7 Santiago;Buenos Aires
563438;23.590.204;Oscar Turco;+5493517508248;Oscar.Turco@gmeil.com;Juan9659;4004;J Juan;Cordoba
511115;48.981.511;Laura Piamontes;+5493515243257;Laura.Piamontes1@gmeil.com;Belgrano2519;5205;B Gallego;Mendoza
408945;15.783.227;Olga Pedro;+5493448010470;Olga.Pedro@gmeil.com;Juan8926;9062;8 Laura;Corrientes
154886;49.237.976;Pedro Olga;+5493518095476;Pedro.Olga@gmeil.com;Lavalleja3534;4074;a Polaco;Mendoza
257755;21.856.689;Turco Piamontes;+5493445192589;Turco.Piamontes@gmeil.com;Juan4950;5329;9 Laura;Corrientes
64477;19.131.577;Tano Tano;+5493405443936;Tano.Tano@gmeil.com;Velez Sarsfield3872;4019;3 Ines;Misiones
181858;49.412.999;Tano Gallego;+5493466674789;Tano.Gallego1@gmeil.com;Velez Sarsfield6983;9655;9 Oscar;Misiones
325936;31.457.357;Ruso Laura;+5493488587444;Ruso.Laura@gmeil.com;Paso4829;7882;4 Polaco;Cordoba
335288;19.672.625;Oscar Ruso;+5493478293964;Oscar.Ruso@gmeil.com;Belgrano9223;9828;3 Laura;Buenos Aires
251962;45.378.889;Pedro Tano;+5493388494492;Pedro.Tano@gmeil.com;Juan7326;9522;7 Olga;Santa Fe
420305;28.223.747;Ruso Polaco;+5493605212012;Ruso.Polaco@gmeil.com;Manga2575;9312;7 Turco;CABA
69884;40.657.673;Ines Ruso;+5493338973023;Ines.Ruso@gmeil.com;Velez Sarsfield7341;9268;V Gallego;Misiones
217817;24.848.871;Olga Ines;+5493445213084;Olga.Ines@gmeil.com;Artigas524;5161;2 Ines;Cordoba
509230;39.987.406;Piamontes Olga;+5493335365281;Piamontes.Olga@gmeil.com;Saavedra5205;8359;S Santiago;Misiones
320498;17.640.867;Polaco Ruso;+5493357296271;Polaco.Ruso@gmeil.com;Belgrano3338;5931;B Gallego;San Luis
490771;15.624.908;Tano Ines;+5493555902644;Tano.Ines@gmeil.com;Manga9074;8291;M Oscar;Mendoza
38978;25.277.951;Juan Gallego;+5493416043144;Juan.Gallego@gmeil.com;Corte992;9689;t Laura;Misiones
346077;11.672.486;Tano Turco;+5493326498575;Tano.Turco1@gmeil.com;Paso983;4215;s Santiago;Buenos Aires
537894;33.208.951;Polaco Laura;+5493335161416;Polaco.Laura@gmeil.com;Artigas1337;4027;t Piamontes;Cordoba
130304;19.302.861;Laura Pedro;+5493485195530;Laura.Pedro@gmeil.com;Saavedra1899;8149;a Ruso;Chaco
443791;42.708.448;Santiago Pedro;+5493305092562;Santiago.Pedro1@gmeil.com;Juan2842;7917;a Olga;San Luis
451352;29.891.970;Piamontes Piamontes;+5493486884310;Piamontes.Piamontes@gmeil.com;Manga8763;5034;M Ruso;Cordoba
268728;43.187.375;Pedro Gallego;+5493375860357;Pedro.Gallego@gmeil.com;Manga9288;4410;g Laura;San Luis
516232;10.791.219;Oscar Gallego;+5493377806321;Oscar.Gallego@gmeil.com;Juan9150;5916;9 Piamontes;San Luis
458029;15.549.714;Turco Santiago;+5493465236155;Turco.Santiago@gmeil.com;Velez Sarsfield2045;8618;S Ruso;Corrientes
87441;10.291.675;Santiago Olga;+5493608498701;Santiago.Olga@gmeil.com;Corte3040;6248;C Turco;Mendoza
556269;38.821.132;Turco Polaco;+5493357958125;Turco.Polaco1@gmeil.com;Artigas2713;7320;s Pedro;San Luis
556492;45.401.667;Gallego Laura;+5493305285215;Gallego.Laura1@gmeil.com;San Martin9650;8700;n Oscar;Santiago del Estero
211792;40.460.282;Piamontes Tano;+5493326607211;Piamontes.Tano@gmeil.com;Lavalleja2435;4820;5 Polaco;CABA
74767;22.227.180;Polaco Juan;+5493368654617;Polaco.Juan@gmeil.com;Corte9962;7410;6 Pedro;San Luis
431419;17.116.821;Oscar Polaco;+5493497926753;Oscar.Polaco@gmeil.com;Saavedra9505;6986;0 Ines;San Luis
306905;32.850.738;Laura Juan;+5493447301454;Laura.Juan5@gmeil.com;Paso9275;7684;P Juan;Corrientes
378609;12.505.417;Ruso Tano;+5493565737089;Ruso.Tano1@gmeil.com;Saavedra7246;4385;a Santiago;CABA
252370;40.324.807;Laura Tano;+5493417783464;Laura.Tano@gmeil.com;Juan1334;4852;u Pedro;Mendoza
411522;42.282.148;Oscar Ruso;+5493377571540;Oscar.Ruso1@gmeil.com;San Martin8823;5711;S Polaco;Cordoba
486862;35.506.457;Juan Ines;+5493506473381;Juan.Ines@gmeil.com;Lavalleja4322;7024;e Pedro;Santiago del Estero
136738;42.776.183;Polaco Laura;+5493585054407;Polaco.Laura1@gmeil.com;Artigas5686;7190;8 Tano;Misiones
119865;19.446.772;Oscar Tano;+5493446628141;Oscar.Tano@gmeil.com;Belgrano8122;8528;a Ruso;Cordoba
48546;18.904.763;Piamontes Turco;+5493596632656;Piamontes.Turco@gmeil.com;Artigas7178;9187;i Pedro;San Luis
468003;33.486.909;Ines Piamontes;+5493598119881;Ines.Piamontes@gmeil.com;Manga5401;9316;0 Tano;Santiago del Estero
171022;44.426.235;Juan Laura;+5493555472221;Juan.Laura@gmeil.com;Juan8529;5589;9 Juan;Misiones
522270;42.743.930;Pedro Laura;+5493538967710;Pedro.Laura1@gmeil.com;Velez Sarsfield6492;7916;S Tano;Chaco
216209;28.380.697;Polaco Juan;+5493368455708;Polaco.Juan1@gmeil.com;Lavalleja5595;6484;a Pedro;CABA
554493;24.162.402;Turco Oscar;+5493475424421;Turco.Oscar1@gmeil.com;Juan7553;7230;u Gallego;Misiones
578720;23.194.590;Olga Ines;+5493335575805;Olga.Ines2@gmeil.com;San Martin8478;5123;a Tano;Cordoba
491320;24.670.696;Gallego Gallego;+5493497115427;Gallego.Gallego@gmeil.com;San Martin3506;8261;a Olga;Buenos Aires
416751;20.937.811;Oscar Tano;+5493466869575;Oscar.Tano1@gmeil.com;Juan1259;8037;1 Laura;Santa Fe
68091;36.784.362;Olga Pedro;+5493505262519;Olga.Pedro1@gmeil.com;Juan1469;7346;u Pedro;Mendoza
474992;31.808.336;Oscar Oscar;+5493446781634;Oscar.Oscar@gmeil.com;Belgrano4984;4367;o Ines;Santiago del Estero
355795;30.921.711;Turco Piamontes;+5493366476712;Turco.Piamontes1@gmeil.com;Manga7193;6869;a Tano;Cordoba
329629;31.755.329;Turco Gallego;+5493405654112;Turco.Gallego@gmeil.com;San Martin3222;8506;M Polaco;San Luis
571906;43.250.747;Polaco Ines;+5493608472632;Polaco.Ines@gmeil.com;Paso8482;7584;8 Piamontes;CABA
226058;25.420.743;Ruso Ines;+5493356621695;Ruso.Ines1@gmeil.com;Paso6624;6232;o Ruso;Corrientes
95266;36.749.243;Turco Polaco;+5493555274754;Turco.Polaco2@gmeil.com;Corro4260;9587;4 Gallego;Corrientes
460687;27.302.614;Gallego Olga;+5493327973025;Gallego.Olga@gmeil.com;Saavedra3781;8832;a Turco;Cordoba
209320;49.330.662;Turco Piamontes;+5493355598810;Turco.Piamontes2@gmeil.com;Artigas6068;7480;a Laura;Cordoba
429880;36.172.304;Santiago Ruso;+5493327464520;Santiago.Ruso@gmeil.com;Paso1728;8373;7 Turco;Chaco
339431;30.883.829;Piamontes Turco;+5493435154385;Piamontes.Turco1@gmeil.com;Manga7174;4919;g Ines;CABA
314905;34.556.494;Olga Ruso;+5493575016140;Olga.Ruso@gmeil.com;Lavalleja6479;8949;4 Tano;Misiones
553403;40.700.567;Polaco Laura;+5493568419990;Polaco.Laura2@gmeil.com;Paso5236;5928;5 Oscar;CABA
56323;40.195.806;Piamontes Piamontes;+5493415820430;Piamontes.Piamontes1@gmeil.com;Velez Sarsfield7522;5888;s Gallego;San Luis
564329;12.411.248;Polaco Turco;+5493328611712;Polaco.Turco1@gmeil.com;Artigas3054;5278;t Gallego;Santa Fe
74349;29.334.747;Santiago Tano;+5493438468554;Santiago.Tano1@gmeil.com;Artigas1440;7832;0 Tano;Santa Fe
71705;35.462.912;Ruso Pedro;+5493317240295;Ruso.Pedro1@gmeil.com;San Martin9069;8416;n Piamontes;Corrientes
238244;33.363.581;Turco Gallego;+5493428622801;Turco.Gallego1@gmeil.com;Manga2356;7579;a Oscar;Santiago del Estero
553538;28.384.472;Santiago Juan;+5493487673713;Santiago.Juan@gmeil.com;Belgrano2762;9207;l Pedro;Buenos Aires
336959;46.493.999;Piamontes Santiago;+5493435621186;Piamontes.Santiago@gmeil.com;Lavalleja5554;9068;5 Ines;Mendoza
120807;25.505.936;Oscar Laura;+5493466439352;Oscar.Laura@gmeil.com;Corro1479;8029;1 Juan;Misiones
114488;28.665.966;Ines Ruso;+5493305578623;Ines.Ruso1@gmeil.com;Velez Sarsfield1397;6666;7 Ines;Misiones
451387;18.897.557;Olga Santiago;+5493308550213;Olga.Santiago1@gmeil.com;Saavedra7972;8545;v Pedro;Corrientes
564886;36.118.874;Polaco Pedro;+5493326113685;Polaco.Pedro1@gmeil.com;Corte6398;5112;8 Oscar;Chaco
229940;12.655.405;Ines Ines;+5493327679458;Ines.Ines1@gmeil.com;Artigas5208;4322;a Ines;Chaco
426971;24.728.919;Polaco Tano;+5493445408730;Polaco.Tano@gmeil.com;Paso4717;5763;P Piamontes;San Luis
494401;48.879.120;Piamontes Tano;+5493528052621;Piamontes.Tano1@gmeil.com;Belgrano4066;4373;B Pedro;Mendoza
592910;47.268.743;Ruso Juan;+5493327724230;Ruso.Juan@gmeil.com;Corte2417;5087;o Santiago;San Luis
239681;13.825.400;Santiago Santiago;+5493335780775;Santiago.Santiago3@gmeil.com;Lavalleja7304;6739;j Tano;Chaco
264803;41.120.335;Ines Polaco;+5493478003459;Ines.Polaco@gmeil.com;Juan6938;6126;u Turco;Cordoba
210769;14.576.751;Laura Tano;+5493505052226;Laura.Tano1@gmeil.com;Paso1497;5576;9 Piamontes;Santiago del Estero
143518;46.711.331;Ines Santiago;+5493318806176;Ines.Santiago@gmeil.com;Paso692;9799;o Juan;Misiones
251602;25.861.567;Ines Ines;+5493415540962;Ines.Ines2@gmeil.com;Saavedra7052;9570;d Tano;Chaco
172837;34.376.106;Ruso Pedro;+5493378327433;Ruso.Pedro2@gmeil.com;Velez Sarsfield3576;4156;S Ruso;Buenos Aires
246541;15.178.221;Olga Pedro;+5493598957023;Olga.Pedro2@gmeil.com;Juan6315;6082;5 Juan;Chaco
227742;11.955.539;Gallego Olga;+5493418641414;Gallego.Olga1@gmeil.com;San Martin4361;9613;1 Turco;Cordoba
380374;10.321.194;Turco Turco;+5493447569511;Turco.Turco1@gmeil.com;Corte9749;4617;r Oscar;Santa Fe
126103;47.492.699;Tano Oscar;+5493365852861;Tano.Oscar1@gmeil.com;Belgrano3418;9609;4 Piamontes;Santa Fe
517340;27.171.556;Santiago Pedro;+5493537120519;Santiago.Pedro2@gmeil.com;Manga4484;4701;4 Pedro;Santiago del Estero
532225;36.434.994;Gallego Polaco;+5493447289715;Gallego.Polaco@gmeil.com;San Martin7776;7045;7 Piamontes;Chaco
444391;14.919.349;Pedro Olga;+5493595417406;Pedro.Olga1@gmeil.com;San Martin9098;7991;9 Piamontes;Buenos Aires
442793;11.852.894;Laura Gallego;+5493476178528;Laura.Gallego@gmeil.com;Velez Sarsfield5863;8317;5 Turco;CABA
505342;32.558.388;Oscar Pedro;+5493548433864;Oscar.Pedro@gmeil.com;Artigas3727;5410;a Santiago;Santa Fe
59321;46.448.859;Ines Olga;+5493346858617;Ines.Olga@gmeil.com;Lavalleja4492;4035;4 Piamontes;Chaco
434637;39.916.802;Pedro Olga;+5493388121913;Pedro.Olga2@gmeil.com;Corro7118;4517;o Oscar;Misiones
46201;34.853.810;Tano Olga;+5493325236771;Tano.Olga@gmeil.com;Juan2621;6331;1 Ines;Cordoba
72069;23.488.416;Ines Ines;+5493566742651;Ines.Ines3@gmeil.com;Lavalleja8891;5299;l Laura;Mendoza
117943;14.721.401;Pedro Santiago;+5493456917088;Pedro.Santiago@gmeil.com;Juan751;6945;a Santiago;Mendoza
178887;30.877.221;Turco Ines;+5493477050958;Turco.Ines@gmeil.com;Saavedra2946;6752;4 Santiago;Chaco
449715;10.789.702;Tano Polaco;+5493525238924;Tano.Polaco@gmeil.com;Corro5061;8059;6 Turco;Mendoza
412244;38.191.889;Laura Polaco;+5493578898402;Laura.Polaco@gmeil.com;Velez Sarsfield8808;9837;d Juan;Mendoza
424531;21.317.982;Gallego Pedro;+5493437096324;Gallego.Pedro@gmeil.com;Juan987;4591;9 Piamontes;Santa Fe
350087;47.271.217;Santiago Santiago;+5493457958652;Santiago.Santiago1@gmeil.com;Juan9429;4268;n Laura;Santa Fe
178746;35.166.552;Santiago Tano;+5493547008834;Santiago.Tano2@gmeil.com;Corte6662;4472;6 Olga;Cordoba
466461;47.697.922;Gallego Polaco;+5493448727842;Gallego.Polaco1@gmeil.com;Velez Sarsfield6045;4256;s Juan;CABA
263768;17.107.998;Oscar Ines;+5493456938238;Oscar.Ines@gmeil.com;Juan5293;7050;3 Ines;Buenos Aires
405869;22.304.276;Polaco Pedro;+5493448028935;Polaco.Pedro2@gmeil.com;Lavalleja5713;4693;3 Gallego;CABA
186850;48.601.753;Turco Juan;+5493395832143;Turco.Juan@gmeil.com;Velez Sarsfield5040;8508;  Turco;Corrientes
291222;36.394.784;Oscar Ines;+5493415951538;Oscar.Ines2@gmeil.com;Velez Sarsfield2488;6486;  Ines;San Luis
183297;35.189.165;Gallego Laura;+5493405333300;Gallego.Laura2@gmeil.com;San Martin2064;7819;0 Pedro;Mendoza
266193;10.202.380;Ines Turco;+5493505057381;Ines.Turco1@gmeil.com;Manga8406;8767;a Polaco;Santa Fe
348566;30.687.871;Oscar Santiago;+5493486455765;Oscar.Santiago@gmeil.com;Artigas5641;8642;4 Ines;Chaco
444892;11.657.917;Ruso Ines;+5493555265884;Ruso.Ines2@gmeil.com;Paso4472;6460;4 Pedro;Buenos Aires
165230;20.408.957;Oscar Laura;+5493526505323;Oscar.Laura1@gmeil.com;Saavedra9733;5460;r Polaco;Mendoza
534229;28.629.723;Pedro Piamontes;+5493568808150;Pedro.Piamontes@gmeil.com;Corro2196;4030;C Tano;Corrientes
389001;18.200.254;Laura Tano;+5493385298378;Laura.Tano2@gmeil.com;Artigas7748;7678;A Polaco;Santiago del Estero
284490;36.708.271;Laura Laura;+5493436087673;Laura.Laura2@gmeil.com;Corte7600;7287;e Turco;Mendoza
91768;17.661.899;Ines Pedro;+5493537380549;Ines.Pedro@gmeil.com;Belgrano1722;9541;7 Ines;San Luis
358297;31.881.322;Ines Juan;+5493466144742;Ines.Juan@gmeil.com;Velez Sarsfield5878;7824;e Turco;San Luis
95575;29.354.111;Juan Pedro;+5493318906095;Juan.Pedro4@gmeil.com;Velez Sarsfield4179;4673;d Oscar;Santa Fe
345970;23.195.551;Gallego Gallego;+5493377678486;Gallego.Gallego1@gmeil.com;Lavalleja1839;5544;j Juan;Buenos Aires
312124;43.477.246;Oscar Tano;+5493367159679;Oscar.Tano2@gmeil.com;Corro5710;5663;0 Ruso;Mendoza
574457;24.959.851;Tano Turco;+5493606404182;Tano.Turco2@gmeil.com;Artigas5581;5317;a Ines;Buenos Aires
202515;14.961.976;Ines Juan;+5493415593777;Ines.Juan2@gmeil.com;Saavedra3326;6544;3 Olga;Chaco
235719;23.380.805;Ruso Ines;+5493366834438;Ruso.Ines3@gmeil.com;Lavalleja9013;4093;a Oscar;CABA
176317;46.804.140;Laura Santiago;+5493478800990;Laura.Santiago@gmeil.com;Paso4577;5677;s Piamontes;Santa Fe
515326;43.683.401;Santiago Juan;+5493377693995;Santiago.Juan1@gmeil.com;Paso389;4229;s Gallego;Buenos Aires
57706;41.918.526;Pedro Turco;+5493347919962;Pedro.Turco@gmeil.com;Paso6568;4117;o Gallego;San Luis
281941;24.409.593;Turco Gallego;+5493425140386;Turco.Gallego2@gmeil.com;Corro6971;4531;9 Oscar;Santa Fe
211888;36.231.273;Juan Ruso;+5493548309209;Juan.Ruso@gmeil.com;Saavedra5802;7804;a Santiago;Mendoza
75149;41.945.730;Turco Turco;+5493568141560;Turco.Turco2@gmeil.com;Velez Sarsfield3448;8029;i Ines;Chaco
184146;22.933.204;Polaco Polaco;+5493345588666;Polaco.Polaco@gmeil.com;Belgrano1551;9742;e Oscar;Corrientes
445036;26.279.261;Piamontes Tano;+5493565247531;Piamontes.Tano2@gmeil.com;Manga5955;4270;9 Oscar;Chaco
211837;50.289.122;Turco Olga;+5493356752776;Turco.Olga@gmeil.com;Manga1581;6062;8 Laura;Chaco
335838;19.708.588;Gallego Laura;+5493507750517;Gallego.Laura3@gmeil.com;Velez Sarsfield2903;8370;e Turco;Mendoza
147267;24.723.863;Gallego Ines;+5493608522773;Gallego.Ines1@gmeil.com;Lavalleja8174;6710;4 Ruso;Misiones
599522;13.341.461;Juan Oscar;+5493547966093;Juan.Oscar2@gmeil.com;Manga5528;5437;g Ines;Mendoza
331479;31.802.319;Olga Pedro;+5493586212653;Olga.Pedro3@gmeil.com;Belgrano3872;8013;l Gallego;Cordoba
203546;38.316.103;Olga Ines;+5493605630188;Olga.Ines3@gmeil.com;San Martin3410;4776;S Ines;Misiones
549779;24.928.211;Juan Polaco;+5493437633100;Juan.Polaco@gmeil.com;Belgrano7102;8195;n Polaco;CABA
353445;36.601.524;Ruso Turco;+5493558231032;Ruso.Turco1@gmeil.com;Corro1109;5835;o Gallego;Santiago del Estero
301430;14.627.153;Ruso Tano;+5493568431161;Ruso.Tano2@gmeil.com;Artigas4326;8720;2 Ruso;San Luis
483683;33.597.192;Gallego Olga;+5493367586308;Gallego.Olga2@gmeil.com;Saavedra1630;7904;e Olga;Corrientes
349358;35.649.955;Laura Piamontes;+5493566179817;Laura.Piamontes2@gmeil.com;Artigas5552;9368;5 Turco;Santa Fe
344556;24.982.989;Tano Piamontes;+5493565913188;Tano.Piamontes@gmeil.com;Paso5765;6141;P Ines;Corrientes
518135;45.603.393;Piamontes Juan;+5493435193987;Piamontes.Juan@gmeil.com;Lavalleja1664;5344;a Polaco;Misiones
428863;46.512.765;Gallego Ines;+5493365642958;Gallego.Ines2@gmeil.com;Lavalleja1681;9967;j Laura;CABA
184606;25.929.111;Laura Tano;+5493315728051;Laura.Tano3@gmeil.com;Saavedra7594;7464;9 Tano;Chaco
581668;43.477.751;Ines Oscar;+5493326778067;Ines.Oscar@gmeil.com;Corte7051;8528;r Ines;Buenos Aires
290145;24.147.196;Santiago Santiago;+5493546142167;Santiago.Santiago@gmeil.com;Paso3791;8240;3 Juan;Corrientes
580194;13.826.224;Polaco Santiago;+5493575053372;Polaco.Santiago@gmeil.com;Manga8476;6227;M Pedro;San Luis
578929;37.721.607;Gallego Pedro;+5493476162645;Gallego.Pedro1@gmeil.com;Lavalleja5856;4342;l Juan;Chaco
295982;49.978.700;Piamontes Laura;+5493367726532;Piamontes.Laura@gmeil.com;Juan684;5811;u Tano;Cordoba
194253;41.363.440;Piamontes Tano;+5493405777153;Piamontes.Tano3@gmeil.com;Paso3854;7959;o Juan;Misiones
100595;27.105.136;Juan Oscar;+5493607115047;Juan.Oscar3@gmeil.com;Juan7663;9362;n Turco;Santa Fe
440924;30.927.198;Tano Oscar;+5493367199521;Tano.Oscar2@gmeil.com;Artigas8906;5402;A Laura;Chaco
560182;13.754.168;Piamontes Tano;+5493486104746;Piamontes.Tano4@gmeil.com;Velez Sarsfield293;5647;e Polaco;Santa Fe
359619;50.137.292;Tano Ruso;+5493395651328;Tano.Ruso@gmeil.com;Saavedra7819;4272;7 Juan;Buenos Aires
426159;46.162.971;Ines Ines;+5493385273356;Ines.Ines4@gmeil.com;Velez Sarsfield3105;4482;e Pedro;Cordoba
38451;45.519.757;Ines Tano;+5493516997404;Ines.Tano@gmeil.com;Corte6453;6605;C Laura;CABA
307701;28.349.892;Pedro Turco;+5493475428162;Pedro.Turco1@gmeil.com;Corte1527;6270;1 Ines;Mendoza
464515;39.412.158;Tano Laura;+5493557185284;Tano.Laura@gmeil.com;Corro957;5294;r Pedro;CABA
387748;35.260.212;Oscar Ruso;+5493515656215;Oscar.Ruso2@gmeil.com;Artigas1000;4870;0 Polaco;Misiones
54570;48.290.830;Oscar Santiago;+5493516147824;Oscar.Santiago1@gmeil.com;Saavedra3161;9684;1 Piamontes;Santiago del Estero
269217;17.480.555;Pedro Olga;+5493507201764;Pedro.Olga3@gmeil.com;San Martin3518;9592;S Ines;Misiones
506740;10.929.714;Oscar Olga;+5493457630510;Oscar.Olga@gmeil.com;Juan5624;5739;a Ruso;Mendoza
423034;13.818.288;Tano Tano;+5493407009176;Tano.Tano1@gmeil.com;Lavalleja5055;4389;v Olga;San Luis
579370;25.849.490;Ines Gallego;+5493596536155;Ines.Gallego@gmeil.com;Paso7241;7783;o Piamontes;San Luis
586427;50.986.350;Tano Ruso;+5493476696017;Tano.Ruso1@gmeil.com;Juan6934;9266;6 Juan;Santiago del Estero
226789;40.353.146;Ines Juan;+5493526669228;Ines.Juan1@gmeil.com;Belgrano1148;7523;g Piamontes;Cordoba
293069;33.732.841;Juan Gallego;+5493315660942;Juan.Gallego1@gmeil.com;Artigas6064;4458;6 Piamontes;Buenos Aires
116927;24.301.344;Laura Ruso;+5493445230495;Laura.Ruso@gmeil.com;Saavedra7621;9523;2 Laura;Chaco
559213;41.551.775;Laura Juan;+5493467682097;Laura.Juan2@gmeil.com;Corte5185;6708;5 Tano;Buenos Aires
335007;45.373.412;Pedro Ruso;+5493348441482;Pedro.Ruso1@gmeil.com;Juan6912;4488;2 Piamontes;Corrientes
264583;48.813.199;Olga Polaco;+5493427348563;Olga.Polaco1@gmeil.com;Paso9114;9634;4 Gallego;Cordoba
